LABEL,DESCRIPTION
acl,clausal modifier of noun (adjectival clause)
advcl,adverbial clause modifier
advmod,adverbial modifier
amod,adjectival modifier
appos,appositional modifier
aux,auxiliary
case,case marking
cc,coordinating conjunction
ccomp,clausal complement
clf,classifier
compound,compound
conj,conjunct
cop,copula
csubj,clausal subject
dep,unspecified dependency
det,determiner
discourse,discourse element
dislocated,dislocated elements
expl,expletive
fixed,fixed multiword expression
flat,flat multiword expression
goeswith,goes with
iobj,indirect object
list,list
mark,marker
nmod,nominal modifier
nsubj,nominal subject
nummod,numeric modifier
obj,object
obl,oblique nominal
orphan,orphan
parataxis,parataxis
punct,punctuation
reparandum,overridden disfluency
root,root
vocative,vocative
xcomp,open clausal complement
